         1407793 function calls (1407587 primitive calls) in 4.330 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     13/1    0.000    0.000    4.330    4.330 {built-in method builtins.exec}
        1    0.000    0.000    4.330    4.330 perfomance_test.py:1(<module>)
        1    0.473    0.473    4.320    4.320 perfomance_test.py:8(test_perfomance)
    50000    0.051    0.000    0.865    0.000 __init__.py:183(dumps)
    50000    0.089    0.000    0.813    0.000 encoder.py:182(encode)
    50000    0.139    0.000    0.793    0.000 __init__.py:299(loads)
    50000    0.700    0.000    0.700    0.000 encoder.py:204(iterencode)
    50000    0.558    0.000    0.613    0.000 {built-in method io.open}
    50000    0.104    0.000    0.477    0.000 decoder.py:332(decode)
    50000    0.380    0.000    0.380    0.000 {built-in method cjson.dumps}
    50000    0.300    0.000    0.300    0.000 {built-in method ujson.loads}
    50000    0.206    0.000    0.294    0.000 {method 'read' of '_io.TextIOWrapper' objects}
    50000    0.293    0.000    0.293    0.000 decoder.py:343(raw_decode)
    50000    0.252    0.000    0.252    0.000 {built-in method ujson.dumps}
    50000    0.214    0.000    0.214    0.000 {built-in method cjson.loads}
    50001    0.154    0.000    0.154    0.000 decoder.py:284(__init__)
    50012    0.135    0.000    0.135    0.000 {method '__exit__' of '_io._IOBase' objects}
    50000    0.053    0.000    0.088    0.000 codecs.py:319(decode)
   100004    0.056    0.000    0.056    0.000 {method 'match' of 're.Pattern' objects}
    50000    0.034    0.000    0.055    0.000 codecs.py:309(__init__)
    50000    0.035    0.000    0.035    0.000 {built-in method _codecs.utf_8_decode}
   150398    0.025    0.000    0.025    0.000 {built-in method builtins.isinstance}
    50000    0.021    0.000    0.021    0.000 codecs.py:260(__init__)
   100000    0.017    0.000    0.017    0.000 {method 'end' of 're.Match' objects}
    50118    0.017    0.000    0.017    0.000 {method 'startswith' of 'str' objects}
     19/5    0.000    0.000    0.009    0.002 <frozen importlib._bootstrap>:1022(_find_and_load)
     19/5    0.000    0.000    0.009    0.002 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     19/5    0.000    0.000    0.008    0.002 <frozen importlib._bootstrap>:664(_load_unlocked)
50460/50422    0.008    0.000    0.008    0.000 {built-in method builtins.len}
     27/7    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     12/4    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap_external>:877(exec_module)
